,0,400,800,1200,1600,2000,
692,0.000999,0.000014,0,0.000014,0.000042,0.000028,0
694,0.000971,0.000014,0.000042,0.000042,0.000083,0.000014,0.000014
696,0.001068,0.000028,0.000014,0,0,0,0.000014
698,0.001207,0.000042,0.000014,0.000028,0.000028,0.000014,0
700,0.000957,0.000014,0.000028,0.000028,0,0,0
702,0.00129,0.000014,0.000028,0,0.000014,0.000028,0.000028
704,0.001262,0,0,0,0.000014,0,0.000014
706,0.001346,0,0.000014,0,0.000055,0.000014,0
708,0.001082,0.000014,0.000014,0.000014,0.000028,0.000055,0
710,0.001248,0.000014,0.000042,0.000014,0.000083,0.000014,0
712,0.00111,0,0,0.000028,0.000028,0,0.000014
714,0.001415,0.000028,0.000028,0,0,0.000028,0
716,0.001387,0,0.000042,0.000028,0.000042,0,0
718,0.001207,0.000014,0.000028,0.000014,0.000069,0,0.000028
720,0.001193,0.000014,0,0.000028,0.000014,0.000014,0.000028
722,0.001457,0.000014,0.000028,0.000028,0,0,0.000014
724,0.001207,0.000014,0.000028,0,0.000028,0.000014,0
726,0.00147,0.000042,0.000055,0.000014,0,0,0
728,0.001193,0,0,0.000014,0.000014,0,0
730,0.001401,0.000014,0,0,0.000042,0,0.000014
732,0.001359,0.000014,0,0,0,0.000014,0
734,0.001165,0.000014,0.000014,0.000042,0.000028,0.000014,0.000014
736,0.001276,0,0.000014,0.000014,0.000014,0.000028,0
738,0.001567,0.000014,0.000028,0.000014,0.000014,0,0.000014
740,0.001387,0,0.000028,0.000014,0.000028,0.000028,0.000014
742,0.001692,0.000014,0,0.000028,0.000028,0.000014,0
744,0.00215,0.000014,0,0.000014,0.000014,0,0.000014
746,0.001887,0.000028,0.000014,0.000014,0.000028,0,0
748,0.001873,0.000014,0,0.000028,0,0.000028,0
750,0.001887,0,0,0.000028,0.000028,0,0
752,0.002067,0.000014,0,0,0,0,0
754,0.002081,0.000028,0.000014,0,0.000014,0,0
756,0.002039,0.000028,0.000014,0,0.000014,0,0.000028
758,0.002081,0,0,0,0,0,0
760,0.002858,0,0,0,0,0,0.000014
762,0.002941,0.000028,0,0,0.000014,0,0
764,0.002636,0,0,0,0,0,0
766,0.002622,0,0,0,0,0,0
768,0.002469,0,0,0,0,0,0
770,0.002649,0,0,0,0.000014,0,0
772,0.002885,0,0,0.000014,0,0,0
774,0.002455,0.000014,0,0,0.000028,0,0
776,0.002941,0,0,0,0,0,0
778,0.002885,0,0,0,0.000042,0,0.000014
780,0.003052,0,0,0,0,0,0
782,0.002982,0,0,0,0.000028,0,0
784,0.002788,0.000028,0,0,0,0,0
786,0.002941,0,0,0,0,0,0
788,0.002955,0,0,0,0.000014,0,0
790,0.003024,0,0,0,0.000014,0,0
792,0.003343,0.000014,0,0,0,0,0
794,0.002566,0,0,0,0.000014,0,0
796,0.003024,0,0,0,0,0,0
798,0.003107,0,0,0,0.000014,0,0
